#             y      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
    0.015265551     0.079420848    -0.046952574  -1.7336207e-20     -0.31035909    -0.079413633  -9.9781973e-22    1.051769e-19   1.6483425e-20    4.094574e-39       5.4603826     0.015446416   4.1071695e-23     0.090985491     0.027890274   0.00013302362       13.226561
    0.016225903      0.07981969    -0.046800383     4.88379e-22     -0.32341113    -0.079813067  -1.5152161e-20     1.64324e-19   2.5639158e-20   3.1218567e-39       5.4600774     0.015369879   6.4579881e-23     0.090986488     0.027891132   0.00013303251       13.221018
    0.017245391     0.080227541    -0.046634879   5.8570847e-21     -0.33625627    -0.080221002   -4.446019e-20  -1.5170291e-20  -6.3796096e-21  -9.7656341e-39       5.4597402     0.015288219   2.9570724e-24     0.090987217      0.02789148   0.00013302405       13.216641
    0.018327656     0.080653529    -0.046454445  -2.6147776e-20     -0.34901324    -0.080646706  -1.2209174e-20  -1.9560541e-19   -5.434615e-20  -1.9639784e-38       5.4593685      0.01520108   -2.576787e-23     0.090987726      0.02789151   0.00013300332       13.213097
    0.019476565     0.081101189    -0.046257478  -2.6361487e-20     -0.36160603     -0.08109389   4.0529637e-20   -2.958998e-19  -8.8853152e-20   1.8426669e-38       5.4589592     0.015108073  -2.1139972e-23     0.090988052      0.02789132   0.00013297414       13.210167
     0.02069622     0.081571584    -0.046042305   8.9696727e-21     -0.37387425    -0.081563754   7.3424861e-20   1.7779027e-19   9.7384284e-21   1.3975362e-38       5.4585095     0.015008778   8.2053728e-23     0.090988221      0.02789096   0.00013293951       13.207704
    0.021990978     0.082064875    -0.045807124   5.9420806e-20     -0.38562567    -0.082056595  -2.6223991e-20   7.3464933e-19   1.4783276e-19   5.2105689e-39       5.4580165     0.014902744   1.6461762e-22     0.090988251      0.02789046   0.00013290193       13.205599
    0.023365464     0.082580969    -0.045549957   4.3078874e-20     -0.39665743    -0.082572269   -1.008084e-19   7.4732689e-20   3.5925647e-20  -2.4331622e-39       5.4574774     0.014789486  -1.6980839e-23     0.090988159     0.027889834   0.00013286352       13.203768
    0.024824587     0.083119716    -0.045268643  -1.9959679e-20      -0.4067639    -0.083110631  -4.0046326e-21  -4.8724056e-19   -8.972433e-20   8.0342136e-39       5.4568897     0.014668483  -1.1456445e-22     0.090987954     0.027889093   0.00013282617        13.20215
    0.026373559     0.083680941    -0.044960804  -2.6989785e-20     -0.41574046    -0.083671309   5.2395153e-20  -1.4704083e-19  -4.0243214e-20   1.9841397e-38        5.456251     0.014539175   -7.580272e-24     0.090987646     0.027888242   0.00013279154       13.200692
    0.028017912     0.084264434    -0.044623865   -3.224222e-21      -0.4233872    -0.084254257   2.5033152e-21   3.2786153e-20  -1.1995951e-20  -1.0056518e-39       5.4555594     0.014400962   4.6289377e-23     0.090987242     0.027887286   0.00013276115       13.199354
     0.02976352      0.08486993     -0.04425501   2.0251026e-20     -0.42951343    -0.084859094  -2.7243718e-20  -8.9664371e-20  -2.0907496e-20  -7.3828394e-39       5.4548131     0.014253199  -9.7143098e-24     0.090986749     0.027886227   0.00013273634       13.198105
    0.031616619     0.085497093    -0.043851205  -6.3713618e-21     -0.43394372    -0.085485907   1.1053891e-20  -1.2548362e-19  -1.2988115e-20  -3.2907055e-39       5.4540112     0.014095194  -4.8904617e-23      0.09098617     0.027885066    0.0001327183       13.196919
    0.033583826     0.086145518    -0.043409108  -3.5121696e-20      -0.4365227    -0.086133979    4.001154e-20   1.3533743e-19   1.7215499e-20  -1.2837033e-38       5.4531531     0.013926201   4.5031901e-23     0.090985511     0.027883805   0.00013270806       13.195775
    0.035672168     0.086814547    -0.042925157   8.3976515e-21     -0.43711685    -0.086803137  -1.1957601e-20   3.8211246e-19   5.6700919e-20   4.4584952e-39       5.4522389     0.013745427   1.0950502e-22     0.090984776     0.027882446   0.00013270647       13.194658
    0.037889105     0.087503573    -0.042395501   3.5541208e-20      -0.4356253    -0.087492011  -3.4634765e-20   7.2590437e-20    3.064169e-20   2.0741837e-38       5.4512697     0.013552007  -2.5914455e-23     0.090983971     0.027880994    0.0001327142       13.193554
    0.040242556     0.088212314    -0.041816105   7.5564915e-21     -0.43199786    -0.088200865   1.3915553e-20  -1.8424008e-19  -3.5470027e-20   7.1105646e-39       5.4502469     0.013345036  -3.5152416e-23       0.0909831     0.027879453    0.0001327316       13.192456
    0.042740925      0.08894015    -0.041182571   8.4467921e-21     -0.42622818    -0.088928299   1.9919895e-20   -3.584106e-20  -3.1776429e-20   1.9135497e-38       5.4491732     0.013123513   5.2844136e-23     0.090982168     0.027877828   0.00013275879       13.191358
    0.045393137     0.089685975    -0.040490337   7.9831574e-22     -0.41834269    -0.089673983   2.1871742e-20   3.1865197e-20  -1.5031194e-20   2.5935614e-38       5.4480518     0.012886404   5.7550858e-23     0.090981182     0.027876127   0.00013279569       13.190254
    0.048208665     0.090448513    -0.039734457   1.7042505e-20     -0.40840811    -0.090435801   1.0676624e-20   9.9946989e-20  -4.5307131e-20   1.3484754e-38       5.4468868     0.012632552   1.8446199e-22     0.090980148     0.027874359   0.00013284201       13.189145
    0.051197566     0.091226232    -0.038909946    5.560389e-20     -0.39653509    -0.091213307  -2.1439928e-20   2.5173266e-20  -3.4996079e-20   5.1229404e-38        5.445683     0.012360784   1.0220832e-22     0.090979073     0.027872535   0.00013289718       13.188029
    0.054370516     0.092017177    -0.038011474   2.9983865e-20     -0.38287138    -0.092003719  -1.8026648e-20   3.1094918e-21  -1.8756391e-20   1.1118195e-37        5.444446     0.012069762   5.2692768e-23     0.090977964     0.027870665   0.00013296046       13.186909
    0.057738847     0.092818998    -0.037033891    2.214056e-20     -0.36759496    -0.092805568  -2.6889992e-20   3.6199646e-21   6.8582595e-21   1.4779737e-37        5.443182     0.011758166  -1.7277393e-23      0.09097683     0.027868762   0.00013303089       13.185788
    0.061314592     0.093628687    -0.035971723  -5.6610576e-20     -0.35090602    -0.093615179   1.5987083e-21  -8.6019085e-20   2.8598011e-20   1.6870848e-37       5.4418978     0.011424455  -1.4397361e-22     0.090975678      0.02786684   0.00013310739        13.18467
     0.06511052     0.094442741    -0.034820032  -3.3964635e-20      -0.3330197    -0.094429369   1.0450474e-20    5.788663e-20   1.2030047e-20   3.9570054e-38       5.4406007     0.011067156   2.2836106e-23     0.090974517     0.027864911   0.00013318878       13.183559
    0.069140193     0.095256781    -0.033573483   2.7947753e-20     -0.31415864    -0.095243779  -1.1762909e-20  -4.8761365e-20   1.3595733e-20  -6.1431779e-38       5.4392981     0.010684507  -8.5326546e-23     0.090973357      0.02786299    0.0001332738       13.182461
    0.073418001     0.096065981    -0.032227858   -5.647523e-21     -0.29454391    -0.096052888   1.4760473e-20  -6.9801688e-20  -3.5681587e-23  -3.4108007e-39       5.4379981     0.010274886   -6.151349e-23     0.090972205     0.027861091   0.00013336114       13.181382
    0.077959226     0.096864477    -0.030778254   4.8426981e-20     -0.27438496    -0.096852299   7.0933144e-21    8.198537e-20   1.3085635e-20   9.0429532e-39       5.4367088    0.0098363041   5.7054223e-23      0.09097107     0.027859227   0.00013344955       13.180327
    0.082780087     0.097646134    -0.029221851   1.0244541e-19     -0.25387367    -0.097633341  -1.8567436e-20   4.8173964e-20   2.8609588e-20   2.2429728e-38       5.4354385    0.0093669838  -1.3001077e-23      0.09096996     0.027857411    0.0001335378       13.179303
    0.087897803     0.098403759    -0.027554389   7.8921371e-20     -0.23317899     -0.09839275   -5.200821e-21  -9.2562057e-20   6.5105747e-21   2.1833279e-39       5.4341957    0.0088647273  -1.2816463e-22     0.090968883     0.027855656   0.00013362472       13.178316
    0.093330656     0.099130332    -0.025775211  -1.9883886e-20     -0.21244583    -0.099117985  -6.9778187e-22   -7.907704e-20    -1.71635e-20  -5.1601709e-38       5.4329893    0.0083275911  -5.4777675e-23     0.090967848     0.027853974   0.00013370923       13.177371
